3.333136118258775982e-01,7.465759091965185057e-02,1.800000000000000044e+00,3.077671331910296071e-01,1.709075946146212166e+00,1.716019255504910968e+00,4.979590313553874936e-01
4.333136118258775760e-01,1.290231258479683785e-01,1.800000000000000044e+00,3.077671331910296071e-01,1.681318339964910091e+00,1.820269620723706350e+00,3.464007954993574834e-01
4.839294172882305789e-01,1.290231258479683785e-01,1.800000000000000044e+00,5.370725984121099694e-01,1.696211587405600296e+00,1.870785778812282585e+00,4.234108769657533022e-01
5.839294172882305567e-01,1.969011360361836438e-01,1.800000000000000044e+00,5.370725984121099694e-01,1.666462480148932279e+00,1.844872278333460569e+00,4.470998915250946615e-01
6.254943469425013891e-01,1.969011360361836438e-01,1.800000000000000044e+00,7.349042282189277575e-01,1.682423616757615203e+00,1.803487256037671349e+00,5.628080341392636132e-01
7.254943469425013669e-01,2.862099512611622210e-01,1.800000000000000044e+00,7.349042282189277575e-01,1.644733232799959755e+00,1.710120452033354166e+00,5.814067014023834856e-01
7.613912136798878239e-01,2.862099512611622210e-01,1.800000000000000044e+00,6.519547352201874313e-01,1.661707068051146319e+00,1.674382339392426200e+00,6.390984881514768512e-01
8.613912136798878016e-01,3.872008245657247993e-01,1.800000000000000044e+00,6.519547352201874313e-01,1.627018780042543744e+00,1.583940811413700134e+00,6.803501173347865638e-01
8.861883037849298539e-01,3.872008245657247993e-01,1.800000000000000044e+00,6.034435678690269755e-01,1.640860623015874209e+00,1.559273122734701422e+00,7.328096644582089425e-01
9.861883037849298317e-01,4.995169774676962993e-01,1.800000000000000044e+00,6.034435678690269755e-01,1.607621251866209411e+00,1.473688597693211921e+00,7.764196146297359657e-01
1.000539656630369478e+00,4.995169774676962993e-01,1.800000000000000044e+00,5.936589654863507759e-01,1.616428639334148709e+00,1.459438082620622357e+00,7.073788716695694756e-01
1.103149924960197037e+00,5.995169774676962771e-01,1.800000000000000044e+00,5.936589654863507759e-01,1.607270110471739955e+00,1.373978071356049657e+00,8.715674371739089432e-01
